ID,Full Name,GPA,Major,Honor Student,State Resident,Tuition,Financial Aid,Cost,First Name,Last Name
25,Mark Hester,1.85,Spanish,No,Yes,20000,12729,7271,Mark,Hester
37,Renee Marquez,3.65,Art,Yes,Yes,20000,11019,8981,Renee,Marquez
50,Luis Stevenson,3.72,Art,Yes,Yes,20000,11464,8536,Luis,Stevenson
48,Melissa Lewis,3.61,History,Yes,Yes,20000,11571,8429,Melissa,Lewis
24,Mark Hester,2.52,Theatre,No,Yes,20000,8671,11329,Mark,Hester
3,Shawn Gilbert,1.85,Business,No,Yes,20000,14750,5250,Shawn,Gilbert
40,Brittany Jones,3.18,Chemistry,No,Yes,20000,14916,5084,Brittany,Jones
85,Martin Mason,2.18,English,No,Yes,20000,6853,13147,Martin,Mason
27,Kristy Gray,3.36,Biology,No,Yes,20000,5200,14800,Kristy,Gray
74,Claudia Wall,1.25,Spanish,No,Yes,20000,12958,7042,Claudia,Wall
51,James Tran ,2.53,Art,No,Yes,20000,5369,14631,James,Tran 
66,Christina Osborne,3.11,History,No,Yes,20000,7542,12458,Christina,Osborne
59,Christina Irwin,1.79,Philosophy,No,No,30000,13709,16291,Christina,Irwin
4,Eric Ellis,1.2,Mathematics,No,No,30000,12978,17022,Eric,Ellis
9,Matthew Ward,2.14,Theatre,No,No,30000,9198,20802,Matthew,Ward
95,Karen Williams,1.16,Business,No,No,30000,13375,16625,Karen,Williams
76,John Young,3.47,Chemistry,No,No,30000,9403,20597,John,Young
31,Kimberly Hayes,2.7,English,No,No,30000,10327,19673,Kimberly,Hayes
1,Nicole Allen,3.17,Biology,No,Yes,20000,9677,10323,Nicole,Allen
28,Ricardo Aguilar,2.23,Spanish,No,Yes,20000,11276,8724,Ricardo,Aguilar
91,Donald Ayala,1.41,Art,No,Yes,20000,9745,10255,Donald,Ayala
64,Jacob Martinez,2.22,Art,No,Yes,20000,14655,5345,Jacob,Martinez
21,Dana Hodge,1.52,History,No,Yes,20000,14628,5372,Dana,Hodge
87,Matthew Ortega,1.62,Theatre,No,Yes,20000,11835,8165,Matthew,Ortega
15,Lisa Chen,2.05,Art,No,Yes,20000,11967,8033,Lisa,Chen
93,Jonathan Cook,1.39,History,No,Yes,20000,8386,11614,Jonathan,Cook
68,Lisa Lewis,3.08,Philosophy,No,Yes,20000,10445,9555,Lisa,Lewis
38,Eric Myers,1.39,Mathematics,No,Yes,20000,7008,12992,Eric,Myers
26,Julie Stuart,1.03,Physics,No,Yes,20000,12640,7360,Julie,Stuart
5,Chelsea Flores,3.01,Chemistry,No,Yes,20000,9534,10466,Chelsea,Flores
83,Phyllis Johnson,2.03,Biology,No,Yes,20000,6278,13722,Phyllis,Johnson
46,Daniel Benson,3.75,Spanish,Yes,Yes,20000,8995,11005,Daniel,Benson
99,Mary Sampson,3.43,Art,No,Yes,20000,8653,11347,Mary,Sampson
88,Karen Davies,2.27,History,No,Yes,20000,7821,12179,Karen,Davies
80,Carrie Trujillo ,1.44,Theatre,No,Yes,20000,5444,14556,Carrie,Trujillo 
58,Renee Austin,2.6,Business,No,Yes,20000,9818,10182,Renee,Austin
67,Jennifer Bray,2.48,Chemistry,No,Yes,20000,6742,13258,Jennifer,Bray
52,Melissa Hancock,2.79,English,No,Yes,20000,11960,8040,Melissa,Hancock
53,Richard Coleman,2.1,Biology,No,Yes,20000,12633,7367,Richard,Coleman
97,Linda Dalton,1.3,Spanish,No,Yes,20000,11388,8612,Linda,Dalton
7,Rhonda Wilcox,2.1,Art,No,Yes,20000,9468,10532,Rhonda,Wilcox
13,David Ortiz,3.04,Art,No,Yes,20000,14902,5098,David,Ortiz
2,Anthony Martinez,2.86,History,No,Yes,20000,6479,13521,Anthony,Martinez
32,Joshua Hughes,3.42,Philosophy,No,Yes,20000,10176,9824,Joshua,Hughes
30,Cynthia Byrd,2.28,Mathematics,No,Yes,20000,11964,8036,Cynthia,Byrd
100,Lawrence Rodriguez,2.66,Theatre,No,Yes,20000,13674,6326,Lawrence,Rodriguez
56,John Moore,2.35,Business,No,Yes,20000,8745,11255,John,Moore
8,Barbara Tran,1.84,Chemistry,No,Yes,20000,9076,10924,Barbara,Tran
63,Mark Hines,3.34,English,No,Yes,20000,14912,5088,Mark,Hines
69,Joyce Rivera,2.27,Biology,No,Yes,20000,9485,10515,Joyce,Rivera
44,Derek Knight,1.36,Spanish,No,Yes,20000,8172,11828,Derek,Knight
92,John Ramirez,3.75,Art,Yes,Yes,20000,7133,12867,John,Ramirez
17,Alexandra Green,2.46,History,No,Yes,20000,5180,14820,Alexandra,Green
6,Karen Carson,2.47,Theatre,No,Yes,20000,10260,9740,Karen,Carson
72,Joseph Beck,1.56,Spanish,No,Yes,20000,11743,8257,Joseph,Beck
18,Alexandra Green,3.12,Art,No,No,30000,7087,22913,Alexandra,Green
65,Christopher Hernandez,2.08,History,No,No,30000,9378,20622,Christopher,Hernandez
20,Diane Brown,1.73,Mathematics,No,No,30000,11660,18340,Diane,Brown
41,Brenda Valentine,3.1,Physics,No,No,30000,9915,20085,Brenda,Valentine
86,Grace Hoffman,1.3,Chemistry,No,No,30000,12102,17898,Grace,Hoffman
61,Samantha Steele,2.56,Spanish,No,No,30000,13103,16897,Samantha,Steele
22,Lisa Chen,1.45,Art,No,No,30000,9901,20099,Lisa,Chen
